Table: Table_1

Ministry of Home ,Affairs Clearance ,Form ,
Name of the applicant ,Sudhanshu Chaudhary ,,
Full Address ,Anmol Ratan Building ,3rd Floor ,
Tel No./Fax No. ,9876543210 ,,
Permanent E-Mail Address ,Sudhanshu@indianair.com ,,
Name of the Directors/ Partners/Promoters ,None ,,
Nature of the applicant firm or company ,Public Limited Company ,,
Details of Details of foreign company participation ,N/A ,,
Details of Directors of the foreign company as per proforma enclosed (II). ,N/A ,,
Details of source of foreign funding, if any ,N/A ,,





